user_id,product_id,interaction_type,score,age,skin_type
user_000,prod_725,liked,5.0,23,Oily
user_000,prod_59,liked,5.0,23,Oily
user_000,prod_45,liked,5.0,23,Oily
user_000,prod_920,liked,5.0,23,Oily
user_000,prod_46,liked,5.0,23,Oily
user_000,prod_35,liked,5.0,23,Oily
user_000,prod_339,liked,5.0,23,Oily
user_000,prod_915,liked,5.0,23,Oily
user_000,prod_220,liked,5.0,23,Oily
user_000,prod_393,liked,5.0,23,Oily
user_000,prod_173,viewed,2.5,23,Oily
user_000,prod_369,viewed,2.5,23,Oily
user_000,prod_801,viewed,2.5,23,Oily
user_000,prod_27,viewed,2.5,23,Oily
user_000,prod_38,viewed,2.5,23,Oily
user_000,prod_26,viewed,1.0,23,Oily
user_000,prod_380,viewed,1.0,23,Oily
user_001,prod_1018,liked,5.0,20,Normal
user_001,prod_148,liked,5.0,20,Normal
user_001,prod_682,liked,5.0,20,Normal
user_001,prod_1003,liked,5.0,20,Normal
user_001,prod_162,liked,5.0,20,Normal
user_001,prod_570,liked,5.0,20,Normal
user_001,prod_173,liked,5.0,20,Normal
user_001,prod_1124,liked,5.0,20,Normal
user_001,prod_1055,liked,5.0,20,Normal
user_001,prod_714,liked,5.0,20,Normal
user_001,prod_1088,viewed,2.5,20,Normal
user_001,prod_914,viewed,2.5,20,Normal
user_001,prod_786,viewed,2.5,20,Normal
user_001,prod_892,viewed,2.5,20,Normal
user_001,prod_627,viewed,2.5,20,Normal
user_001,prod_9,viewed,1.0,20,Normal
user_001,prod_733,viewed,1.0,20,Normal
user_002,prod_859,liked,5.0,25,Oily
user_002,prod_46,liked,5.0,25,Oily
user_002,prod_393,liked,5.0,25,Oily
user_002,prod_725,liked,5.0,25,Oily
user_002,prod_45,liked,5.0,25,Oily
user_002,prod_339,liked,5.0,25,Oily
user_002,prod_237,liked,5.0,25,Oily
user_002,prod_59,liked,5.0,25,Oily
user_002,prod_35,liked,5.0,25,Oily
user_002,prod_915,liked,5.0,25,Oily
user_002,prod_1070,viewed,2.5,25,Oily
user_002,prod_676,viewed,2.5,25,Oily
user_002,prod_867,viewed,2.5,25,Oily
user_002,prod_493,viewed,2.5,25,Oily
user_002,prod_658,viewed,2.5,25,Oily
user_002,prod_21,viewed,1.0,25,Oily
user_002,prod_512,viewed,1.0,25,Oily
user_003,prod_174,liked,5.0,18,Combination
user_003,prod_1180,liked,5.0,18,Combination
user_003,prod_17,liked,5.0,18,Combination
user_003,prod_430,liked,5.0,18,Combination
user_003,prod_1149,liked,5.0,18,Combination
user_003,prod_1052,liked,5.0,18,Combination
user_003,prod_341,liked,5.0,18,Combination
user_003,prod_1090,liked,5.0,18,Combination
user_003,prod_335,liked,5.0,18,Combination
user_003,prod_1103,liked,5.0,18,Combination
user_003,prod_161,viewed,2.5,18,Combination
user_003,prod_846,viewed,2.5,18,Combination
user_003,prod_612,viewed,2.5,18,Combination
user_003,prod_494,viewed,2.5,18,Combination
user_003,prod_563,viewed,2.5,18,Combination
user_003,prod_404,viewed,1.0,18,Combination
user_003,prod_69,viewed,1.0,18,Combination
user_004,prod_162,liked,5.0,32,Normal
user_004,prod_609,liked,5.0,32,Normal
user_004,prod_714,liked,5.0,32,Normal
user_004,prod_682,liked,5.0,32,Normal
user_004,prod_1055,liked,5.0,32,Normal
user_004,prod_1003,liked,5.0,32,Normal
user_004,prod_148,liked,5.0,32,Normal
user_004,prod_570,liked,5.0,32,Normal
user_004,prod_1124,liked,5.0,32,Normal
user_004,prod_173,liked,5.0,32,Normal
user_004,prod_796,viewed,2.5,32,Normal
user_004,prod_1127,viewed,2.5,32,Normal
user_004,prod_325,viewed,2.5,32,Normal
user_004,prod_762,viewed,2.5,32,Normal
user_004,prod_1190,viewed,2.5,32,Normal
user_004,prod_306,viewed,1.0,32,Normal
user_004,prod_470,viewed,1.0,32,Normal
user_005,prod_408,liked,5.0,24,Sensitive
user_005,prod_825,liked,5.0,24,Sensitive
user_005,prod_723,liked,5.0,24,Sensitive
user_005,prod_596,liked,5.0,24,Sensitive
user_005,prod_609,liked,5.0,24,Sensitive
user_005,prod_670,liked,5.0,24,Sensitive
user_005,prod_993,liked,5.0,24,Sensitive
user_005,prod_127,liked,5.0,24,Sensitive
user_005,prod_189,liked,5.0,24,Sensitive
user_005,prod_221,liked,5.0,24,Sensitive
user_005,prod_251,viewed,2.5,24,Sensitive
user_005,prod_885,viewed,2.5,24,Sensitive
user_005,prod_227,viewed,2.5,24,Sensitive
user_005,prod_601,viewed,2.5,24,Sensitive
user_005,prod_659,viewed,2.5,24,Sensitive
user_005,prod_1156,viewed,1.0,24,Sensitive
user_005,prod_591,viewed,1.0,24,Sensitive
user_006,prod_832,liked,5.0,30,Dry
user_006,prod_1097,liked,5.0,30,Dry
user_006,prod_393,liked,5.0,30,Dry
user_006,prod_36,liked,5.0,30,Dry
user_006,prod_674,liked,5.0,30,Dry
user_006,prod_1054,liked,5.0,30,Dry
user_006,prod_1039,liked,5.0,30,Dry
user_006,prod_576,liked,5.0,30,Dry
user_006,prod_910,liked,5.0,30,Dry
user_006,prod_908,liked,5.0,30,Dry
user_006,prod_39,viewed,2.5,30,Dry
user_006,prod_577,viewed,2.5,30,Dry
user_006,prod_938,viewed,2.5,30,Dry
user_006,prod_404,viewed,2.5,30,Dry
user_006,prod_1096,viewed,2.5,30,Dry
user_006,prod_104,viewed,1.0,30,Dry
user_006,prod_502,viewed,1.0,30,Dry
user_007,prod_725,liked,5.0,39,Oily
user_007,prod_393,liked,5.0,39,Oily
user_007,prod_915,liked,5.0,39,Oily
user_007,prod_237,liked,5.0,39,Oily
user_007,prod_45,liked,5.0,39,Oily
user_007,prod_59,liked,5.0,39,Oily
user_007,prod_859,liked,5.0,39,Oily
user_007,prod_220,liked,5.0,39,Oily
user_007,prod_35,liked,5.0,39,Oily
user_007,prod_46,liked,5.0,39,Oily
user_007,prod_165,viewed,2.5,39,Oily
user_007,prod_1155,viewed,2.5,39,Oily
user_007,prod_388,viewed,2.5,39,Oily
user_007,prod_935,viewed,2.5,39,Oily
user_007,prod_1028,viewed,2.5,39,Oily
user_007,prod_280,viewed,1.0,39,Oily
user_007,prod_1138,viewed,1.0,39,Oily
user_008,prod_59,liked,5.0,20,Oily
user_008,prod_920,liked,5.0,20,Oily
user_008,prod_35,liked,5.0,20,Oily
user_008,prod_45,liked,5.0,20,Oily
user_008,prod_859,liked,5.0,20,Oily
user_008,prod_393,liked,5.0,20,Oily
user_008,prod_339,liked,5.0,20,Oily
user_008,prod_237,liked,5.0,20,Oily
user_008,prod_915,liked,5.0,20,Oily
user_008,prod_220,liked,5.0,20,Oily
user_008,prod_397,viewed,2.5,20,Oily
user_008,prod_828,viewed,2.5,20,Oily
user_008,prod_350,viewed,2.5,20,Oily
user_008,prod_426,viewed,2.5,20,Oily
user_008,prod_1154,viewed,2.5,20,Oily
user_008,prod_422,viewed,1.0,20,Oily
user_008,prod_991,viewed,1.0,20,Oily
user_009,prod_1103,liked,5.0,21,Combination
user_009,prod_159,liked,5.0,21,Combination
user_009,prod_1090,liked,5.0,21,Combination
user_009,prod_1180,liked,5.0,21,Combination
user_009,prod_335,liked,5.0,21,Combination
user_009,prod_341,liked,5.0,21,Combination
user_009,prod_550,liked,5.0,21,Combination
user_009,prod_1052,liked,5.0,21,Combination
user_009,prod_1149,liked,5.0,21,Combination
user_009,prod_17,liked,5.0,21,Combination
user_009,prod_849,viewed,2.5,21,Combination
user_009,prod_862,viewed,2.5,21,Combination
user_009,prod_859,viewed,2.5,21,Combination
user_009,prod_258,viewed,2.5,21,Combination
user_009,prod_94,viewed,2.5,21,Combination
user_009,prod_253,viewed,1.0,21,Combination
user_009,prod_944,viewed,1.0,21,Combination
user_010,prod_1095,liked,5.0,24,Dry
user_010,prod_1097,liked,5.0,24,Dry
user_010,prod_1039,liked,5.0,24,Dry
user_010,prod_92,liked,5.0,24,Dry
user_010,prod_36,liked,5.0,24,Dry
user_010,prod_908,liked,5.0,24,Dry
user_010,prod_576,liked,5.0,24,Dry
user_010,prod_910,liked,5.0,24,Dry
user_010,prod_1054,liked,5.0,24,Dry
user_010,prod_393,liked,5.0,24,Dry
user_010,prod_951,viewed,2.5,24,Dry
user_010,prod_1064,viewed,2.5,24,Dry
user_010,prod_43,viewed,2.5,24,Dry
user_010,prod_493,viewed,2.5,24,Dry
user_010,prod_1085,viewed,2.5,24,Dry
user_010,prod_883,viewed,1.0,24,Dry
user_010,prod_1170,viewed,1.0,24,Dry
user_011,prod_331,liked,5.0,23,Sensitive
user_011,prod_670,liked,5.0,23,Sensitive
user_011,prod_189,liked,5.0,23,Sensitive
user_011,prod_408,liked,5.0,23,Sensitive
user_011,prod_221,liked,5.0,23,Sensitive
user_011,prod_723,liked,5.0,23,Sensitive
user_011,prod_127,liked,5.0,23,Sensitive
user_011,prod_993,liked,5.0,23,Sensitive
user_011,prod_609,liked,5.0,23,Sensitive
user_011,prod_596,liked,5.0,23,Sensitive
user_011,prod_999,viewed,2.5,23,Sensitive
